name,city,rating,rating_count,cost,cuisine
Kebab Ghar,Agartala,4.0,100,200.0,Kebabs
CILANTRO Multi Cuisine Restaurant,Agartala,4.0,100,325.0,"Thai,Indian"
THE SERIAL GRILLER,Agartala,3.5,100,300.0,"Biryani,Chinese"
Rahul fast Food Egg Cake,Agartala,4.5,20,100.0,Fast Food
Hungrilla Vegan (Pure Veg),Agartala,3.6,20,150.0,"Indian,Bengali"
High Tree,Agartala,3.6,50,150.0,Indian
Baku Tiffin House,Agartala,4.0,100,200.0,"Indian,Biryani"
Domino's Pizza,Agartala,4.4,100,425.0,Pizzas
Debbarma Food Corner,Agartala,2.4,50,200.0,North Eastern
CHATHATAK (A COMPLETE TRIBAL FOOD),Agartala,3.6,50,200.0,North Eastern
Aurum,Agartala,3.3,50,350.0,"Snacks,Indian"
Khunti	Karai,Agartala,4.1,50,200.0,Indian
Pork Lovers,Agartala,2.9,20,150.0,"Biryani,Indian"
Maa Saradar Ranna Ghor,Agartala,4.0,100,125.0,"Indian,Snacks"
Food Plaza,Agartala,4.0,20,300.0,"Chinese,Mughlai"
BONGO ROSH,Agartala,3.4,100,300.0,"North Indian,Chinese"
SKF FOOD WORLD,Agartala,3.8,20,150.0,"Indian,Seafood"
Rock N Roll,Agartala,4.5,20,175.0,"North Indian,Chinese"
TryMe,Agartala,3.8,100,200.0,"Indian,Chinese"
Hotel VIP International Agartala,Agartala,2.7,50,300.0,"Biryani,Kebabs"
Food Delight,Agartala,4.2,50,150.0,Chinese
Sherowali Sweets and Fast Food,Agartala,4.2,100,150.0,Desserts
Smooth Brew Cafe,Agartala,3.7,20,150.0,"Bakery,Indian"
Dawat,Agartala,3.6,500,300.0,"Kebabs,Biryani"
Green House,Agartala,2.3,20,200.0,Indian
Rajbir Restaurant,Agartala,4.0,20,150.0,Indian
FULL HOUSE - AQUILARIA CLUBHOUSE,Agartala,4.3,100,600.0,"Chinese,Indian"
AMRITA FAST FOOD CENTRE,Agartala,4.3,20,200.0,Snacks
TeaoOze (The snacks bar),Agartala,3.9,50,160.0,"Snacks,Chinese"
HML Rooftop Restaurant,Agartala,3.9,50,450.0,"Chinese,Biryani"
Hotel Polo Towers,Agartala,3.6,50,600.0,"Indian,Chinese"
The Food Villa,Agartala,4.4,20,180.0,Chinese
New Royal Veg,Agartala,3.7,20,200.0,"Indian,Chinese"
Momos 20,Agartala,3.1,50,125.0,Indian
Tihar Flavours of Jail,Agartala,3.2,20,200.0,"Indian,Chinese"
Ginger,Agartala,3.9,20,250.0,"Chinese,Kebabs"
Maa Bhagawati Bhoj,Agartala,3.5,100,200.0,"Indian,Chinese"
Roasted Beans Cafe,Agartala,3.5,20,275.0,"Continental,Pizzas"
Have Break Momo Stall,Agartala,3.7,100,150.0,Chinese
Aap Ki Rasoi,Agartala,3.8,100,150.0,"Indian,Chinese"
RAMKRISHNA HOTEL AND RESTAURANT,Agartala,3.1,20,100.0,"Indian,Biryani"
Ajanta Hotel,Agartala,3.8,50,200.0,"Thalis,North Indian"
OXYFEED RESTAURANT,Agartala,4.0,20,150.0,"Biryani,Indian"
Nirmala Hotel & Restaurant,Agartala,3.6,100,225.0,"North Indian,Chinese"
Bong Spice,Agartala,3.3,20,200.0,"Indian,Fast Food"
Roni Punjabi Dhaba,Agartala,4.0,100,200.0,North Indian
Bhagat Halwai (Dayal Bagh),Agra,3.9,1,250.0,"Chinese,North Indian"
Mama Chicken Mama Franky House,Agra,3.8,1,200.0,"Chinese,North Indian"
Om Restaurant,Agra,3.9,20,250.0,North Indian
Bhagat Halwai & Sons - Shahganj,Agra,3.9,1,250.0,"South Indian,North Indian"
Deep Corner,Agra,3.4,100,300.0,Desserts
Bhagat Halwai - Nehru Nagar (Civil Lines),Agra,4.0,100,200.0,"Sweets,South Indian"
La Pino'z Pizza,Agra,4.0,500,300.0,"Pizzas,Fast Food"
The Manoj Restaurant,Agra,4.0,100,400.0,"South Indian,North Indian"
Labbaik Chicken Corner,Agra,3.2,100,600.0,North Indian
New Pizza King,Agra,4.0,500,300.0,"Pizzas,Italian"
GMB - Gopika Sweets & Restaurant,Agra,4.1,100,200.0,"Sweets,North Indian"
Pushpak Misthan Bhandar,Agra,3.9,100,200.0,"Sweets,Street Food"
Chimmanlal Poori Wale,Agra,3.5,500,200.0,"Desserts,North Indian"
Deviram Royal Restaurant,Agra,3.5,50,400.0,"North Indian,Chinese"
GMB Sweets,Agra,4.3,100,200.0,"Sweets,South Indian"
FNP Cakes n More,Agra,3.5,20,200.0,Desserts
Biryani & Kebab By Zahid Foods,Agra,3.9,20,300.0,"North Indian,Biryani"
Shan-E-Hind,Agra,3.5,100,400.0,North Indian
Chimmanlal Puri Wale (Since -1840 - Original),Agra,3.7,100,100.0,North Indian
McDonald's,Agra,3.9,1,400.0,American
Cake House,Agra,3.2,1,150.0,"Bakery,Desserts"
Pizza Hut,Agra,3.7,50,300.0,Pizzas
